"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.3966597077244","70.9896318114875","64.558798405467","62.7305274665209","64.6679137760159","68.0822443181818","64.5928522958607","65.0609639056958","65.5294753389664","62.9225552395537","60.217349726776","69.7475857687421","73.1070284127323","76.545975834528","78.2695556445156","72.8474736048265","71.8164950383823","72.5545618789521","72.2526488751745","73.2347164278648","51.6450160196886","68.9129322140941","",
"Africa Eastern and Southern","AFE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","28.9915312211608","23.9481122535767","21.7353460741972","21.2416117161076","21.9033636708252","23.9607060189764","24.4653041994763","25.0827877949448","24.0366542118856","22.3281133480702","20.5485462836645","18.529674617321","21.1425535004932","22.4825009021759","24.1779908385664","24.7338707972011","25.8532216325135","25.0336097934346","25.1561238758509","25.0820092991633","25.9273839255819","26.9897020056703","28.1758079262013","25.9804956583506","26.0911720740399","27.9209427947151","29.817807323231","32.169932941624","35.6987709628358","27.237999614112","29.2308971149748","30.8149235891494","29.2421411498202","28.7458353315729","28.0329054965942","23.4059426596767","22.0127988137308","22.297917151837","25.3628322250833","23.8906300306257","22.1618537125397","25.8040295775582","26.137457631506",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.13223321494422","4.45344326574765","4.87805112036481","9.171601094149","8.88889256172819","11.2582791310323","8.57142877551021","6.77290842314672","8.89967664482985","10.0946369851427","9.78400228346932","10.922342255116","14.7632312416105","12.9487180787311","14.0206189325114","12.6760568934735","13.2173912468809","11.6629043316852","10.8417502819894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","16.696275418775","17.1524110628984","16.2839335677271","16.3912485763329","17.4638092171034","17.8651252647121","17.2980080405885","18.4945655255608","19.6340033128601","19.9385602793896","17.0487015503832","19.0321272777429","19.1523285023484","22.322209885139","30.3275601507662","24.3657096899046","24.5189907116795","29.5123670980335","25.5515673101366","28.4495417746949","32.5522679049163","13.9499930359546","12.8725083845591","13.6285048762007","17.0087065758385","17.8038977664323","16.500171359483","20.1664926870267","18.8867190796979","27.2556693739151","25.3009389562187","25.9828682121876","25.6199259569851","23.2857021231167","25.2773001234023","29.9450539024323","28.7172665797486","31.4915417622335","25.0241409813794","26.4352354693699","36.095799973077","30.6999621013962","27.9422695211694","29.2795451211973","26.2720535098546","27.0223950327974","31.5509462209996","26.4864031617253","29.8716998251693","24.1985094896554","29.3923612078483","34.1375961572567","33.9369406928972","23.5429067775553","23.2421013475252","17.3663578963677","16.9041404142872","20.8640177530154","22.3230147073419","21.430103374249","15.4447460939609","19.1700189626321","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6858311851382","75.38894373114","57.0849959046266","54.3213388113835","58.3803583199793","65.5262677696291","63.4678635039226","67.9057833724671","72.4750287994632","58.7573002977584","61.5431158851524","60.6699475151848","55.9401306344811","50.7470857909554","44.6950294609853","29.7545979506807","28.1244854472006","29.0041020030504","40.8362898299819","40.7907550532833","38.0382741583793","45.4343204688312","",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.6408294970517","11.620333234637","10.1971272832635","11.4671662578473","16.8417629634305","20.1152855452625","21.3334108322137","20.9456161731319","20.8473864531722","22.2175607600291","23.0129911473171","25.2096077274316","28.2478654166425","25.3024181160681","25.2407486083138","27.9794352415409","29.2415371390963","28.9374877608303","28.9163151372576","28.2130014584625","27.2673911512668","28.9778991754721","31.5697983098872","31.5719544148007","31.3042698874727","22.6577896143959","31.3091607591559","37.4634354302553",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1320458846835","39.5360236696743","42.026524796143","47.2558393632258","51.6600186592819","53.0327953048627","52.9968511717473","55.7795432420048","45.0513381535196","47.7000120072356","53.1803463472825","54.4244415352234","52.7491038543011","48.9715334881623","41.0715582950887","37.7130308504105","41.6484898526369","45.3308231584042","43.5079707412069","36.9511848174554","","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","82.2423856431629","90.0765642479735","97.6349633773452","98.0075860876661","96.9237967434986","97.5631880705978","97.6631210861556","98.342392206754","91.994776867123","96.6641687524381","95.9265985861602","","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111518","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.9248783778462","16.6108723998011","18.0342289894963","16.7780368212333",
